name,seqid,start,end,strand,length,coverage_pct,avg_identity,quality_score,status
dnaN,NZ_CP113945.1,176,1306,+,1131,100.0,100.0,100.0,complete
WP_277140976.1,NZ_CP113945.1,176,1306,+,1131,100.0,100.0,100.0,complete
yaaA,NZ_CP113945.1,1523,1744,+,222,100.0,100.0,100.0,complete
WP_277130023.1,NZ_CP113945.1,1523,1744,+,222,100.0,100.0,100.0,complete
recF,NZ_CP113945.1,1751,2887,+,1137,100.0,100.0,100.0,complete
WP_277140977.1,NZ_CP113945.1,1751,2887,+,1137,100.0,100.0,100.0,complete
gyrB,NZ_CP113945.1,2880,4844,+,1965,100.0,100.0,100.0,complete
WP_277140978.1,NZ_CP113945.1,2880,4844,+,1965,100.0,100.0,100.0,complete
gyrA,NZ_CP113945.1,4855,7341,+,2487,100.0,100.0,100.0,complete
WP_277140979.1,NZ_CP113945.1,4855,7341,+,2487,100.0,100.0,100.0,complete
rpsF,NZ_CP113945.1,7537,7833,+,297,100.0,100.0,100.0,complete
WP_277130015.1,NZ_CP113945.1,7537,7833,+,297,100.0,100.0,100.0,complete
ssb,NZ_CP113945.1,7882,8415,+,534,100.0,100.0,100.0,complete
WP_277140980.1,NZ_CP113945.1,7882,8415,+,534,100.0,100.0,100.0,complete
rpsR,NZ_CP113945.1,8438,8674,+,237,100.0,100.0,100.0,complete
WP_090093298.1,NZ_CP113945.1,8438,8674,+,237,100.0,100.0,100.0,complete
OZX58_RS00050,NZ_CP113945.1,8821,10839,+,2019,100.0,100.0,100.0,complete
WP_277140981.1,NZ_CP113945.1,8821,10839,+,2019,100.0,100.0,100.0,complete
rplI,NZ_CP113945.1,10852,11307,+,456,100.0,100.0,100.0,complete
WP_277130008.1,NZ_CP113945.1,10852,11307,+,456,100.0,100.0,100.0,complete
dnaB,NZ_CP113945.1,11347,12729,+,1383,100.0,100.0,100.0,complete
WP_277130007.1,NZ_CP113945.1,11347,12729,+,1383,100.0,100.0,100.0,complete
OZX58_RS00065,NZ_CP113945.1,12894,13052,+,159,100.0,100.0,100.0,complete
WP_277130006.1,NZ_CP113945.1,12894,13052,+,159,100.0,100.0,100.0,complete
OZX58_RS00070,NZ_CP113945.1,13127,14326,-,1200,100.0,100.0,100.0,complete
WP_277140982.1,NZ_CP113945.1,13127,14326,-,1200,100.0,100.0,100.0,complete
OZX58_RS00075,NZ_CP113945.1,14435,15136,-,702,100.0,100.0,100.0,complete
WP_277130002.1,NZ_CP113945.1,14435,15136,-,702,100.0,100.0,100.0,complete
OZX58_RS00080,NZ_CP113945.1,15305,15377,+,73,100.0,100.0,100.0,complete
OZX58_RS00085,NZ_CP113945.1,16018,16548,-,531,100.0,100.0,100.0,complete
WP_277140983.1,NZ_CP113945.1,16018,16548,-,531,100.0,100.0,100.0,complete
OZX58_RS00090,NZ_CP113945.1,16578,17312,-,735,100.0,100.0,100.0,complete
WP_277140984.1,NZ_CP113945.1,16578,17312,-,735,100.0,100.0,100.0,complete
OZX58_RS00095,NZ_CP113945.1,17309,18727,-,1419,100.0,100.0,100.0,complete
WP_277141793.1,NZ_CP113945.1,17309,18727,-,1419,100.0,100.0,100.0,complete
OZX58_RS00100,NZ_CP113945.1,18982,19416,+,435,100.0,100.0,100.0,complete
WP_277140985.1,NZ_CP113945.1,18982,19416,+,435,100.0,100.0,100.0,complete
OZX58_RS00105,NZ_CP113945.1,19428,20234,+,807,100.0,100.0,100.0,complete
WP_277140986.1,NZ_CP113945.1,19428,20234,+,807,100.0,100.0,100.0,complete
OZX58_RS00110,NZ_CP113945.1,20897,21430,-,534,100.0,100.0,100.0,complete
WP_277140987.1,NZ_CP113945.1,20897,21430,-,534,100.0,100.0,100.0,complete
OZX58_RS00115,NZ_CP113945.1,21543,22514,+,972,100.0,100.0,100.0,complete
WP_277140988.1,NZ_CP113945.1,21543,22514,+,972,100.0,100.0,100.0,complete
OZX58_RS00120,NZ_CP113945.1,22613,23155,-,543,100.0,100.0,100.0,complete
WP_277140989.1,NZ_CP113945.1,22613,23155,-,543,100.0,100.0,100.0,complete
OZX58_RS00125,NZ_CP113945.1,23275,24231,+,957,100.0,100.0,100.0,complete
WP_277140990.1,NZ_CP113945.1,23275,24231,+,957,100.0,100.0,100.0,complete
OZX58_RS00130,NZ_CP113945.1,24420,24581,-,162,100.0,100.0,100.0,complete
WP_277129993.1,NZ_CP113945.1,24420,24581,-,162,100.0,100.0,100.0,complete
OZX58_RS00135,NZ_CP113945.1,24850,25644,+,795,100.0,100.0,100.0,complete
WP_277129991.1,NZ_CP113945.1,24850,25644,+,795,100.0,100.0,100.0,complete
OZX58_RS00140,NZ_CP113945.1,25775,26638,+,864,100.0,100.0,100.0,complete
WP_277129989.1,NZ_CP113945.1,25775,26638,+,864,100.0,100.0,100.0,complete
OZX58_RS00145,NZ_CP113945.1,26653,27504,+,852,100.0,100.0,100.0,complete
WP_277140991.1,NZ_CP113945.1,26653,27504,+,852,100.0,100.0,100.0,complete
OZX58_RS00150,NZ_CP113945.1,27635,29494,+,1860,100.0,100.0,100.0,complete
WP_277129986.1,NZ_CP113945.1,27635,29494,+,1860,100.0,100.0,100.0,complete
OZX58_RS00155,NZ_CP113945.1,29528,29707,-,180,100.0,100.0,100.0,complete
WP_277140992.1,NZ_CP113945.1,29528,29707,-,180,100.0,100.0,100.0,complete
OZX58_RS00160,NZ_CP113945.1,29892,30605,+,714,100.0,100.0,100.0,complete
WP_277129984.1,NZ_CP113945.1,29892,30605,+,714,100.0,100.0,100.0,complete
OZX58_RS00165,NZ_CP113945.1,30650,31510,+,861,100.0,100.0,100.0,complete
WP_277140993.1,NZ_CP113945.1,30650,31510,+,861,100.0,100.0,100.0,complete
OZX58_RS00170,NZ_CP113945.1,31536,32300,+,765,100.0,100.0,100.0,complete
WP_277129982.1,NZ_CP113945.1,31536,32300,+,765,100.0,100.0,100.0,complete
OZX58_RS00175,NZ_CP113945.1,32425,33435,-,1011,100.0,100.0,100.0,complete
WP_277129981.1,NZ_CP113945.1,32425,33435,-,1011,100.0,100.0,100.0,complete
OZX58_RS00180,NZ_CP113945.1,33575,34417,+,843,100.0,100.0,100.0,complete
WP_277129979.1,NZ_CP113945.1,33575,34417,+,843,100.0,100.0,100.0,complete
OZX58_RS00185,NZ_CP113945.1,34461,35288,+,828,100.0,100.0,100.0,complete
WP_277129978.1,NZ_CP113945.1,34461,35288,+,828,100.0,100.0,100.0,complete
OZX58_RS00190,NZ_CP113945.1,35631,38471,+,2841,100.0,100.0,100.0,complete
WP_277140994.1,NZ_CP113945.1,35631,38471,+,2841,100.0,100.0,100.0,complete
OZX58_RS00195,NZ_CP113945.1,38515,39603,-,1089,100.0,100.0,100.0,complete
WP_277141795.1,NZ_CP113945.1,38515,39603,-,1089,100.0,100.0,100.0,complete
OZX58_RS00200,NZ_CP113945.1,39811,40224,+,414,100.0,100.0,100.0,complete
WP_277140995.1,NZ_CP113945.1,39811,40224,+,414,100.0,100.0,100.0,complete
OZX58_RS00205,NZ_CP113945.1,40693,42259,+,1567,0.0,0.0,0.0,missing
OZX58_RS00210,NZ_CP113945.1,42472,45381,+,2910,0.0,0.0,0.0,missing
rrf,NZ_CP113945.1,45464,45580,+,117,63.24786324786324,100.0,88.97435897435898,incomplete
OZX58_RS00220,NZ_CP113945.1,45592,45664,+,73,100.0,100.0,100.0,complete
OZX58_RS00225,NZ_CP113945.1,45714,46640,-,927,100.0,100.0,100.0,complete
WP_277140996.1,NZ_CP113945.1,45714,46640,-,927,100.0,100.0,100.0,complete
OZX58_RS00230,NZ_CP113945.1,46756,48636,+,1881,100.0,100.0,100.0,complete
WP_277140997.1,NZ_CP113945.1,46756,48636,+,1881,100.0,100.0,100.0,complete
citG,NZ_CP113945.1,48690,49511,-,822,100.0,100.0,100.0,complete
WP_277140998.1,NZ_CP113945.1,48690,49511,-,822,100.0,100.0,100.0,complete
OZX58_RS00240,NZ_CP113945.1,49733,51031,+,1299,100.0,100.0,100.0,complete
WP_277140999.1,NZ_CP113945.1,49733,51031,+,1299,100.0,100.0,100.0,complete
OZX58_RS00245,NZ_CP113945.1,51053,52198,+,1146,100.0,100.0,100.0,complete
WP_277141000.1,NZ_CP113945.1,51053,52198,+,1146,100.0,100.0,100.0,complete
OZX58_RS00250,NZ_CP113945.1,52264,52494,-,231,100.0,100.0,100.0,complete
WP_277131007.1,NZ_CP113945.1,52264,52494,-,231,100.0,100.0,100.0,complete
OZX58_RS00255,NZ_CP113945.1,52600,53463,-,864,100.0,100.0,100.0,complete
WP_277141001.1,NZ_CP113945.1,52600,53463,-,864,100.0,100.0,100.0,complete
OZX58_RS00260,NZ_CP113945.1,53460,54407,-,948,100.0,100.0,100.0,complete
WP_277141002.1,NZ_CP113945.1,53460,54407,-,948,100.0,100.0,100.0,complete
OZX58_RS00265,NZ_CP113945.1,54428,55267,-,840,100.0,100.0,100.0,complete
WP_277141003.1,NZ_CP113945.1,54428,55267,-,840,100.0,100.0,100.0,complete
OZX58_RS00270,NZ_CP113945.1,55280,55912,-,633,100.0,100.0,100.0,complete
WP_277141004.1,NZ_CP113945.1,55280,55912,-,633,100.0,100.0,100.0,complete
OZX58_RS00275,NZ_CP113945.1,56198,57277,-,1080,100.0,100.0,100.0,complete
WP_277141005.1,NZ_CP113945.1,56198,57277,-,1080,100.0,100.0,100.0,complete
OZX58_RS00280,NZ_CP113945.1,57469,58131,+,663,100.0,100.0,100.0,complete
WP_277141006.1,NZ_CP113945.1,57469,58131,+,663,100.0,100.0,100.0,complete
OZX58_RS00285,NZ_CP113945.1,58252,59394,-,1143,100.0,100.0,100.0,complete
WP_277141007.1,NZ_CP113945.1,58252,59394,-,1143,100.0,100.0,100.0,complete
OZX58_RS00290,NZ_CP113945.1,59609,60040,-,432,100.0,100.0,100.0,complete
WP_277130993.1,NZ_CP113945.1,59609,60040,-,432,100.0,100.0,100.0,complete
OZX58_RS00295,NZ_CP113945.1,60439,60846,+,408,100.0,100.0,100.0,complete
WP_277141008.1,NZ_CP113945.1,60439,60846,+,408,100.0,100.0,100.0,complete
OZX58_RS00300,NZ_CP113945.1,60885,61364,+,480,100.0,100.0,100.0,complete
WP_277141009.1,NZ_CP113945.1,60885,61364,+,480,100.0,100.0,100.0,complete
OZX58_RS00305,NZ_CP113945.1,61548,62120,-,573,100.0,100.0,100.0,complete
WP_277141010.1,NZ_CP113945.1,61548,62120,-,573,100.0,100.0,100.0,complete
OZX58_RS00310,NZ_CP113945.1,62178,63617,-,1440,100.0,100.0,100.0,complete
WP_277141011.1,NZ_CP113945.1,62178,63617,-,1440,100.0,100.0,100.0,complete
OZX58_RS00315,NZ_CP113945.1,63621,64592,-,972,100.0,100.0,100.0,complete
WP_277141012.1,NZ_CP113945.1,63621,64592,-,972,100.0,100.0,100.0,complete
OZX58_RS00320,NZ_CP113945.1,64808,64969,+,162,100.0,100.0,100.0,complete
WP_277141013.1,NZ_CP113945.1,64808,64969,+,162,100.0,100.0,100.0,complete
OZX58_RS00325,NZ_CP113945.1,65150,65222,-,73,100.0,100.0,100.0,complete
OZX58_RS00330,NZ_CP113945.1,65526,66398,+,873,100.0,100.0,100.0,complete
WP_277141014.1,NZ_CP113945.1,65526,66398,+,873,100.0,100.0,100.0,complete
OZX58_RS00335,NZ_CP113945.1,66528,67478,+,951,100.0,100.0,100.0,complete
WP_277141015.1,NZ_CP113945.1,66528,67478,+,951,100.0,100.0,100.0,complete
OZX58_RS00340,NZ_CP113945.1,67529,67601,-,73,100.0,100.0,100.0,complete
yycF,NZ_CP113945.1,67740,68456,+,717,100.0,100.0,100.0,complete
WP_277130980.1,NZ_CP113945.1,67740,68456,+,717,100.0,100.0,100.0,complete
walK,NZ_CP113945.1,68523,70379,+,1857,100.0,100.0,100.0,complete
WP_277130979.1,NZ_CP113945.1,68523,70379,+,1857,100.0,100.0,100.0,complete
OZX58_RS00355,NZ_CP113945.1,70369,71694,+,1326,100.0,100.0,100.0,complete
WP_277141016.1,NZ_CP113945.1,70369,71694,+,1326,100.0,100.0,100.0,complete
OZX58_RS00360,NZ_CP113945.1,71696,72520,+,825,100.0,100.0,100.0,complete
WP_277141017.1,NZ_CP113945.1,71696,72520,+,825,100.0,100.0,100.0,complete
OZX58_RS00365,NZ_CP113945.1,72535,73332,+,798,100.0,100.0,100.0,complete
WP_277141018.1,NZ_CP113945.1,72535,73332,+,798,100.0,100.0,100.0,complete
OZX58_RS00370,NZ_CP113945.1,73400,74614,+,1215,100.0,100.0,100.0,complete
WP_277141019.1,NZ_CP113945.1,73400,74614,+,1215,100.0,100.0,100.0,complete
rlmH,NZ_CP113945.1,75096,75575,+,480,100.0,100.0,100.0,complete
WP_277130970.1,NZ_CP113945.1,75096,75575,+,480,100.0,100.0,100.0,complete
OZX58_RS00380,NZ_CP113945.1,75591,76442,+,852,100.0,100.0,100.0,complete
WP_277141020.1,NZ_CP113945.1,75591,76442,+,852,100.0,100.0,100.0,complete
OZX58_RS00385,NZ_CP113945.1,76479,77132,-,654,100.0,100.0,100.0,complete
WP_277141021.1,NZ_CP113945.1,76479,77132,-,654,100.0,100.0,100.0,complete
OZX58_RS00390,NZ_CP113945.1,77142,78497,-,1356,100.0,100.0,100.0,complete
WP_277141022.1,NZ_CP113945.1,77142,78497,-,1356,100.0,100.0,100.0,complete
OZX58_RS00395,NZ_CP113945.1,78759,79694,+,936,100.0,100.0,100.0,complete
WP_277141023.1,NZ_CP113945.1,78759,79694,+,936,100.0,100.0,100.0,complete
htpX,NZ_CP113945.1,79740,80636,-,897,100.0,100.0,100.0,complete
WP_277141024.1,NZ_CP113945.1,79740,80636,-,897,100.0,100.0,100.0,complete
OZX58_RS00405,NZ_CP113945.1,80653,81213,-,561,100.0,100.0,100.0,complete
WP_277130959.1,NZ_CP113945.1,80653,81213,-,561,100.0,100.0,100.0,complete
OZX58_RS00410,NZ_CP113945.1,81320,82420,-,1101,100.0,100.0,100.0,complete
WP_277141025.1,NZ_CP113945.1,81320,82420,-,1101,100.0,100.0,100.0,complete
OZX58_RS00415,NZ_CP113945.1,82605,83009,+,405,100.0,100.0,100.0,complete
WP_277141026.1,NZ_CP113945.1,82605,83009,+,405,100.0,100.0,100.0,complete
OZX58_RS00420,NZ_CP113945.1,83092,83232,+,141,100.0,100.0,100.0,complete
WP_277141028.1,NZ_CP113945.1,83092,83232,+,141,100.0,100.0,100.0,complete
OZX58_RS00425,NZ_CP113945.1,83349,84266,+,918,100.0,100.0,100.0,complete
WP_277141030.1,NZ_CP113945.1,83349,84266,+,918,100.0,100.0,100.0,complete
OZX58_RS00430,NZ_CP113945.1,84327,86228,+,1902,100.0,100.0,100.0,complete
WP_277141031.1,NZ_CP113945.1,84327,86228,+,1902,100.0,100.0,100.0,complete
OZX58_RS00435,NZ_CP113945.1,86280,87719,-,1440,100.0,100.0,100.0,complete
WP_277141032.1,NZ_CP113945.1,86280,87719,-,1440,100.0,100.0,100.0,complete
OZX58_RS00440,NZ_CP113945.1,87733,88677,-,945,100.0,100.0,100.0,complete
WP_277141033.1,NZ_CP113945.1,87733,88677,-,945,100.0,100.0,100.0,complete
OZX58_RS00445,NZ_CP113945.1,88876,89574,+,699,100.0,100.0,100.0,complete
