name,seqid,start,end,strand,length,coverage_pct,avg_identity,quality_score,status
IS30 family ISLpl1 transposase,contig_1,5690,6619,-,930,0.10752688172043011,95.95369626763363,67.19984545185967,missing
hypothetical protein,contig_1,6759,7235,+,477,100.0,95.95369626763363,97.16758738734354,complete
Small conserved membrane protein,contig_1,7250,7564,+,315,100.0,95.95369626763363,97.16758738734354,complete
Alpha/beta hydrolase,contig_1,7692,8543,+,852,100.0,95.95369626763363,97.16758738734354,complete
Bacterial regulatory helix-turn-helix%2C lysR family protein,contig_1,8597,9496,-,900,100.0,95.95369626763365,97.16758738734354,complete
malolactic enzyme,contig_1,9627,11258,+,1632,100.0,95.95369626763365,97.16758738734354,complete
L-Malate uniport protein,contig_1,11291,12253,+,963,100.0,95.95369626763363,97.16758738734354,complete
Endoribonuclease L-PSP,contig_1,12424,12792,+,369,100.0,95.95369626763363,97.16758738734354,complete
WxL domain-containing protein,contig_1,13303,14577,+,1275,100.0,95.95369626763363,97.16758738734354,complete
DUF3324 domain-containing protein,contig_1,14665,15480,+,816,100.0,95.95369626763365,97.16758738734354,complete
dihydroorotate oxidase,contig_1,15964,16905,+,942,100.0,95.95369626763365,97.16758738734354,complete
YjjG family noncanonical pyrimidine nucleotidase,contig_1,16924,17610,+,687,100.0,95.95369626763365,97.16758738734354,complete
Cation:dicarboxylase symporter family transporter,contig_1,17648,18925,+,1278,100.0,95.95369626763363,97.16758738734354,complete
PTS system mannose-specific EIIAB component,contig_1,19262,20242,+,981,100.0,95.95369626763363,97.16758738734354,complete
Mannose permease IIC component,contig_1,20272,21078,+,807,100.0,95.95369626763365,97.16758738734354,complete
Mannose permease IID component,contig_1,21096,22007,+,912,100.0,95.95369626763363,97.16758738734354,complete
DUF956 domain-containing protein,contig_1,22228,22596,+,369,100.0,95.95369626763363,97.16758738734354,complete
Methionine--tRNA ligase,contig_1,22748,22972,+,225,100.0,95.95369626763365,97.16758738734354,complete
3-oxoacyl-ACP reductase,contig_1,22972,23715,+,744,100.0,95.95369626763362,97.16758738734353,complete
DUF1858 domain-containing protein,contig_1,23736,23969,+,234,100.0,95.95369626763363,97.16758738734354,complete
